"RelativePath"                                                                , "Width", "Height", "Format"
"environment\SkyCube_blue.dds"                                                , "512"  , "512"   , "dds"
"environment\SkyCube_Desert01.dds"                                            , "512"  , "512"   , "dds"
"environment\SkyCube_Desert01a.dds"                                           , "512"  , "512"   , "dds"
"environment\SkyCube_Desert02.dds"                                            , "512"  , "512"   , "dds"
"environment\SkyCube_Desert02a.dds"                                           , "512"  , "512"   , "dds"
"environment\SkyCube_Desert03a.dds"                                           , "512"  , "512"   , "dds"
"environment\SkyCube_Evergreen01.dds"                                         , "512"  , "512"   , "dds"
"environment\SkyCube_Evergreen01a.dds"                                        , "512"  , "512"   , "dds"
"environment\SkyCube_Evergreen02.dds"                                         , "512"  , "512"   , "dds"
"environment\SkyCube_Evergreen03.dds"                                         , "512"  , "512"   , "dds"
"environment\SkyCube_Evergreen03a.dds"                                        , "512"  , "512"   , "dds"
"environment\SkyCube_Evergreen05a.dds"                                        , "512"  , "512"   , "dds"
"environment\SkyCube_EvStormy.dds"                                            , "512"  , "512"   , "dds"
"environment\SkyCube_Geothermal01.dds"                                        , "512"  , "512"   , "dds"
"environment\SkyCube_Geothermal02.dds"                                        , "512"  , "512"   , "dds"
"environment\SkyCube_Geothermal02a.dds"                                       , "512"  , "512"   , "dds"
"environment\SkyCube_Lava01.dds"                                              , "512"  , "512"   , "dds"
"environment\SkyCube_Lava01a.dds"                                             , "512"  , "512"   , "dds"
"environment\SkyCube_Leipzig_Demo.dds"                                        , "512"  , "512"   , "dds"
"environment\SkyCube_RedRock03.dds"                                           , "512"  , "512"   , "dds"
"environment\SkyCube_RedRocks01.dds"                                          , "512"  , "512"   , "dds"
"environment\SkyCube_RedRocks02.dds"                                          , "512"  , "512"   , "dds"
"environment\SkyCube_RedRocks02a.dds"                                         , "512"  , "512"   , "dds"
"environment\SkyCube_RedRocks03.dds"                                          , "512"  , "512"   , "dds"
"environment\SkyCube_RedRocks04.dds"                                          , "512"  , "512"   , "dds"
"environment\SkyCube_RedRocks05.dds"                                          , "512"  , "512"   , "dds"
